"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Salamander","MM","15 (natural armor)","90 (12d10 + 24)","18","14","15","11","10","12","5 (1,800 XP)"
"Sapphire Dragon Wyrmling","FTD","16 (natural armor)","45 (6d8 + 18)","17","14","16","14","13","14","3 (700 XP)"
"Sapphire Greatwyrm","FTD","21 (natural armor)","507 (26d20 + 234)","28","14","29","30","24","25","26 (90,000 XP)"
"Sapphire Sentinel","CM","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Satyr","MM","14 (leather armor)","31 (7d8)","12","16","11","12","10","14","1/2 (100 XP)"
"Satyr Reveler","MOT","13","33 (6d8 + 6)","12","16","13","12","10","16","1 (200 XP)"
"Satyr Thornbearer","MOT","15 (leather armor)","38 (7d8 + 7)","12","18","12","11","13","14","2 (450 XP)"
"Scaladar","WDMM","19 (natural armor)","94 (7d12 + 49)","19","10","25","1","12","1","8 (3,900 XP)"
"Scarecrow","MM","11","36 (8d8)","11","13","11","10","10","13","1 (200 XP)"
"Scion of Grolantor","BGG","18 (natural armor)","402 (23d20 + 161)","27","14","25","15","21","18","22 (41,000 XP)"
"Scion of Memnor","BGG","20 (natural armor)","656 (32d20 + 320)","30","18","30","24","22","26","26 (90,000 XP)"
"Scion of Skoraeus","BGG","19 (natural armor)","444 (24d20 + 192)","29","20","26","19","24","14","23 (50,000 XP)"
"Scion of Stronmaus","BGG","20 (natural armor)","656 (32d20 + 320)","30","20","30","26","28","24","27 (105,000 XP)"
"Scion of Surtur","BGG","20 (natural armor)","546 (28d20 + 252)","30","17","28","21","24","20","25 (75,000 XP)"
"Scion of Thrym","BGG","19 (natural armor)","499 (27d20 + 216)","30","16","27","17","20","21","24 (62,000 XP)"
"Scorchbringer Guard","GGR","16 (breastplate)","11 (2d8 + 2)","13","14","12","10","9","10","1/2 (100 XP)"
"Scorpion","MM","11 (natural armor)","1 (1d4 - 1)","2","11","8","1","8","2","0 (10 XP)"
"Scout","MM","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Scrag","TftYP","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","5 (1,800 XP)"
"Scufflecup Teacup","SCC","12","5 (2d4)","4","14","10","3","3","1","0 (10 XP)"
"Sea Elf","SKT","11","11 (2d8 + 2)","10","13","12","11","11","12","1/8 (25 XP)"
"Sea Elf Scout","DSotDQ","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Sea Hag","MM","14 (natural armor)","52 (7d8 + 21)","16","13","16","12","12","13","2 (450 XP) or 4 (1,100 XP) when part of a coven"
"Sea Horse","MM","11","1 (1d4 - 1)","1","12","8","1","10","2","0 (0 XP)"
"Sea Lion","TftYP","15 (natural armor)","90 (12d10 + 24)","17","15","15","3","12","8","5 (1,800 XP)"
"Sea Spawn","MPMM","11 (natural armor)","32 (5d8 + 10)","15","8","15","6","10","8","1 (200 XP)"
"Seal","IDRotF","11","9 (2d8)","10","12","11","3","12","5","0 (10 XP)"
"Sentient Gray Ooze","TftYP","8","22 (3d8 + 9)","12","6","16","5","6","2","1/2 (100 XP)"
"Sentient Ochre Jelly","TftYP","8","45 (6d10 + 12)","15","6","14","5","6","1","2 (450 XP)"
"Sergeant","ERLW","16 (chain shirt, shield)","11 (2d8 + 2)","13","12","12","10","11","10","1/8 (25 XP)"
"Sergeant","WDH","16 (chain shirt, shield)","11 (2d8 + 2)","13","12","12","10","11","10","1/8 (25 XP)"
"Servitor Thrull","GGR","11","22 (4d6 + 8)","11","13","14","6","6","3","1/4 (50 XP)"
"Setessan Hoplite","MOT","16 (leather, shield)","58 (9d8 + 18)","14","16","14","13","16","11","4 (1,100 XP)"
"Shadar-kai Gloom Weaver","MPMM","14","104 (16d8 + 32)","11","18","14","15","12","18","9 (5,000 XP)"
"Shadar-kai Shadow Dancer","MPMM","15 (studded leather)","71 (13d8 + 13)","12","16","13","11","12","12","7 (2,900 XP)"
"Shadar-kai Soul Monger","MPMM","15 (studded leather)","136 (21d8 + 42)","8","17","14","19","16","13","11 (7,200 XP)"
"Shadow","MM","12","16 (3d8 + 3)","6","14","13","6","10","8","1/2 (100 XP)"
"Shadow Assassin","WDMM","14","78 (12d8 + 24)","6","19","14","13","12","14","9 (5,000 XP)"
"Shadow Demon","MM","13","66 (12d8 + 12)","1","17","12","14","13","14","4 (1,100 XP)"
"Shadow Horror","GGR","13","120 (16d10 + 32)","12","16","14","2","17","18","9 (5,000 XP)"
"Shadow Mastiff","MPMM","12","33 (6d8 + 6)","16","14","13","5","12","5","2 (450 XP)"
"Shadow Mastiff Alpha","MPMM","12","44 (8d8 + 8)","16","14","13","6","12","5","3 (700 XP)"
"Shadrix Silverquill","SCC","21 (natural armor)","363 (22d20 + 132)","25","14","23","18","18","26","22 (41,000 XP)"
"Shambling Mound","MM","15 (natural armor)","136 (16d10 + 48)","18","8","16","5","10","5","5 (1,800 XP)"
"Shapechanged Roper","WDMM","20 (natural armor)","93 (11d10 + 33)","18","8","17","7","16","6","5 (1,800 XP)"
"Shard Shunner","WDH","12","27 (6d6 + 6)","10","15","12","11","10","8","2 (450 XP)"
"Sheep","SKT","10","3 (1d6)","12","10","11","2","10","5","0 (10 XP)"
"Shell Shark","GoS","18 (shell plate armor)","32 (5d8 + 10)","15","12","14","3","10","7","2 (450 XP)"
"Shield Dwarf Guard","SKT","16 (chain shirt, shield)","11 (2d8 + 2)","13","12","12","10","11","10","1/8 (25 XP)"
"Shield Dwarf Noble","SKT","15 (breastplate)","9 (2d8)","11","12","11","12","14","16","1/8 (25 XP)"
"Shield Guardian","MM","17 (natural armor)","142 (15d10 + 60)","18","8","18","7","10","3","7 (2,900 XP)"
"Shifter","ERLW","14 (leather armor)","19 (3d8 + 6)","12","16","14","11","15","10","1/2 (100 XP)"
"Shoosuva","MPMM","14 (natural armor)","136 (16d10 + 48)","18","13","17","7","14","9","8 (3,900 XP)"
"Shrieker","MM","5","13 (3d8)","1","1","10","1","3","1","0 (10 XP)"
"Sibriex","MPMM","19 (natural armor)","150 (12d12 + 72)","10","3","23","25","24","25","18 (20,000 XP)"
"Silver Dragon Wyrmling","MM","17 (natural armor)","45 (6d8 + 18)","19","10","17","12","11","15","2 (450 XP)"
"Silver Greatwyrm","FTD","22 (natural armor)","565 (29d20 + 261)","30","16","29","21","22","30","28 (120,000 XP, or 240,000 XP as a mythic encounter)"
"Silverquill Apprentice","SCC","12","44 (8d8 + 8)","10","14","13","12","11","15","2 (450 XP)"
"Silverquill Pledgemage","SCC","13","66 (12d8 + 12)","10","16","13","12","11","17","4 (1,100 XP)"
"Silverquill Professor of Radiance","SCC","12","97 (15d8 + 30)","11","14","14","16","13","19","7 (2,900 XP)"
"Silverquill Professor of Shadow","SCC","12","97 (15d8 + 30)","11","14","14","16","13","19","7 (2,900 XP)"
"Simic Merfolk","GGR","11","11 (2d8 + 2)","10","13","12","11","11","12","1/8 (25 XP)"
"Sire of Insanity","GGR","17 (natural armor)","157 (15d12 + 60)","23","6","19","14","19","22","12 (8,400 XP)"
"Sivak Draconian","DSotDQ","16 (natural armor)","57 (6d10 + 24)","18","10","18","13","10","10","4 (1,100 XP)"
"Skeletal Alchemist","GoS","11","32 (5d8 + 10)","9","13","15","14","10","9","1/2 (100 XP)"
"Skeletal Juggernaut","GoS","13 (armor scraps)","142 (19d10 + 38)","16","14","15","6","8","5","5 (1,800 XP)"
"Skeletal Knight","DSotDQ","18 (plate)","112 (15d8 + 45)","20","10","16","13","14","10","7 (2,900 XP)"
"Skeletal Rats","BGDIA","10","24 (7d8 - 7)","9","11","9","2","10","3","1/4 (50 XP)"
"Skeletal Riding Horse","DIP","10","13 (2d10 + 2)","16","10","12","2","11","7","1/4 (50 XP)"
"Skeletal Swarm","GoS","13 (armor scraps)","60 (8d10 + 16)","12","14","15","6","8","5","2 (450 XP)"
"Skeleton","MM","13 (armor scraps)","13 (2d8 + 4)","10","14","15","6","8","5","1/4 (50 XP)"
"Skeleton Key","ToA","13 (armor scraps)","13 (2d8 + 4)","10","14","15","6","8","5","1/4 (50 XP)"
"Skittering Horror","GGR","17 (natural armor)","228 (24d12 + 72)","22","16","17","2","14","18","15 (13,000 XP)"
"Skitterwidget","CM","18 (natural armor)","85 (10d8 + 40)","16","14","18","3","10","1","5 (1,800 XP)"
"Skulk","MPMM","14","18 (4d8)","6","19","10","10","7","1","1/2 (100 XP)"
"Skull Flier","SLW","16 (natural armor)","24 (3d8)","10","14","10","1","10","3","1/2 (100 XP)"
"Skull Lasher of Myrkul","BGDIA","12","32 (5d8 + 10)","10","14","15","16","13","10","1 (200 XP)"
"Skull Lord","MPMM","18 (plate)","112 (15d8 + 45)","14","16","17","16","15","21","15 (13,000 XP)"
"Skum","GoS","14 (natural armor)","93 (11d8 + 44)","19","11","18","7","12","9","5 (1,800 XP)"
"Skyjek Roc","GGR","15 (breastplate)","37 (5d10 + 10)","20","13","14","3","10","8","2 (450 XP)"
"Skyswimmer","GGR","18 (natural armor)","216 (16d20 + 48)","23","15","16","7","12","6","13 (10,000 XP)"
"Skyweaver","PotA","12 (15 with mage armor)","44 (8d8 + 8)","8","14","12","11","10","16","3 (700 XP)"
"Slaad Tadpole","MM","12","10 (4d4)","7","15","10","3","5","3","1/8 (25 XP)"
"Sled Dog","RoT","13 (natural armor)","11 (2d8 + 2)","12","15","12","3","12","6","1/4 (50 XP)"
"Slithering Tracker","MPMM","14","39 (6d8 + 12)","16","19","15","10","14","11","3 (700 XP)"
"Smoke Mephit","MM","12","22 (5d6 + 5)","6","14","12","10","10","11","1/4 (50 XP)"
"Snake Horror","RoT","20 (plate armor, shield)","60 (8d8 + 24)","18","13","16","10","10","10","4 (1,100 XP)"
"Snow Golem","IDRotF","8","39 (6d8 + 12)","15","6","14","1","6","1","3 (700 XP)"
"Snow Leopard","TftYP","12","37 (5d10 + 10)","17","15","14","3","12","8","1 (200 XP)"
"Snow Maiden","CoS","12","22 (5d8)","1","14","11","10","10","11","1 (200 XP)"
"Snowy Owlbear","IDRotF","13 (natural armor)","59 (7d10 + 21)","20","12","17","3","12","7","3 (700 XP)"
"Solar","MM","21 (natural armor)","243 (18d10 + 144)","26","22","26","25","25","30","21 (33,000 XP)"
"Solar Dragon Wyrmling","BAM","15 (natural armor)","51 (6d8 + 24)","16","15","18","11","12","10","3 (700 XP)"
"Soldier","GGR","18 (chain mail, shield)","16 (3d8 + 3)","13","12","12","10","11","11","1/2 (100 XP)"
"Soul Shaker","JttRC","13 (natural armor)","76 (8d10 + 32)","20","8","18","8","11","14","4 (1,100 XP)"
"Space Clown","BAM","13","58 (9d8 + 18)","16","16","14","11","11","16","2 (450 XP)"
"Space Eel","BAM","14","7 (2d6)","12","18","11","1","10","1","1/2 (100 XP)"
"Space Guppy","BAM","13","3 (1d6)","3","16","10","1","10","1","0 (10 XP)"
"Space Hamster","BAM","15","10 (4d4)","1","20","10","6","12","6","1/4 (50 XP)"
"Space Hamster","WDMM","10","1 (1d4 - 1)","2","11","9","2","10","4","0 (10 XP)"
"Space Mollymawk","BAM","12","3 (1d6)","6","14","11","3","12","3","0 (10 XP)"
"Space Swine","BAM","11","22 (4d8 + 4)","12","12","12","4","10","3","1/4 (50 XP)"
"Spawn of Kyuss","MPMM","10","76 (9d8 + 36)","16","11","18","5","7","3","5 (1,800 XP)"
"Spectator","MM","14 (natural armor)","39 (6d8 + 12)","8","14","14","13","14","11","3 (700 XP)"
"Specter","MM","12","22 (5d8)","1","14","11","10","10","11","1 (200 XP)"
"Spectral Cloud","BGG","11","189 (18d12 + 72)","24","12","18","12","17","16","13 (10,000 XP)"
"Sperm Whale","IDRotF","13 (natural armor)","189 (14d20 + 42)","26","8","17","3","12","5","8 (3,900 XP)"
"Sphinx of Judgment","GGR","17 (natural armor)","136 (16d10 + 48)","18","15","16","18","18","18","11 (7,200 XP)"
"Spider","MM","12","1 (1d4 - 1)","2","14","8","1","10","2","0 (10 XP)"
"Spiked Tomb Guardian","ToA","17","93 (11d8 + 44)","19","9","18","6","10","5","6 (2,300 XP)"
"Spined Devil","MM","13 (natural armor)","22 (5d6 + 5)","10","15","12","11","14","8","2 (450 XP)"
"Spirit Naga","MM","15 (natural armor)","75 (10d10 + 20)","18","17","14","16","15","16","8 (3,900 XP)"
"Spirit Statue Mascot","SCC","14 (natural armor)","26 (4d8 + 8)","14","9","15","12","13","8","1/4 (50 XP)"
"Spirit Troll","MPMM","17 (natural armor)","130 (20d10 + 20)","1","17","13","8","9","16","11 (7,200 XP)"
"Spitting Mimic","IDRotF","14 (natural armor)","85 (10d10 + 30)","21","12","17","9","15","10","5 (1,800 XP)"
"Splugoth the Returned","AI","15 (natural armor)","27 (6d6 + 6)","10","14","12","14","11","10","2 (450 XP)"
"Spore Servant Octopus","DoSI","11","52 (8d10 + 8)","17","13","13","2","6","1","1 (200 XP)"
"Spotted Lion","BGG","15 (natural armor)","66 (7d12 + 21)","23","14","17","5","13","10","3 (700 XP)"
"Spring Eladrin","MPMM","19 (natural armor)","165 (22d8 + 66)","14","16","16","18","11","18","10 (5,900 XP)"
"Sprite","MM","15 (leather armor)","2 (1d4)","3","18","10","14","13","11","1/4 (50 XP)"
"Spy","MM","12","27 (6d8)","10","15","10","12","14","16","1 (200 XP)"
"Ssurran Defiler","BAM","16 (natural armor, intellect fortress)","52 (7d8 + 21)","13","12","16","15","15","7","3 (700 XP)"
"Ssurran Poisoner","BAM","16 (natural armor, shield)","22 (4d8 + 4)","13","12","13","12","12","7","1/2 (100 XP)"
"Stalker of Baphomet","BGG","17 (natural armor)","200 (16d12 + 96)","25","17","22","13","16","12","12 (8,400 XP)"
"Star Spawn Grue","MPMM","11","17 (5d6)","6","13","10","9","11","6","1/4 (50 XP)"
"Star Spawn Hulk","MPMM","16 (natural armor)","136 (13d10 + 65)","20","8","21","7","12","9","10 (5,900 XP)"
"Star Spawn Larva Mage","MPMM","16 (natural armor)","168 (16d8 + 96)","17","12","23","18","12","16","16 (15,000 XP)"
"Star Spawn Mangler","MPMM","14","71 (13d8 + 13)","8","18","12","11","12","7","5 (1,800 XP)"
"Star Spawn Seer","MPMM","17 (natural armor)","153 (18d8 + 72)","14","12","18","22","19","16","13 (10,000 XP)"
"Starlight Apparition","BAM","10","72 (16d8)","1","11","10","18","16","16","5 (1,800 XP)"
"Statue of Talos","SLW","17 (natural armor)","147 (14d10 + 70)","19","11","20","6","11","9","10 (5,900 XP)"
"Statue of Vergadain","WDMM","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Steam Mephit","MM","10","21 (6d6)","5","11","10","11","10","12","1/4 (50 XP)"
"Steel Predator","MPMM","20 (natural armor)","207 (18d10 + 108)","24","17","22","4","14","6","16 (15,000 XP)"
"Stegosaurus","MPMM","13 (natural armor)","76 (8d12 + 24)","20","9","17","2","11","5","4 (1,100 XP)"
"Stench Kow","MPMM","10","15 (2d10 + 4)","18","10","14","2","10","4","1/2 (100 XP)"
"Stirge","MM","14 (natural armor)","2 (1d4)","4","16","11","2","8","6","1/8 (25 XP)"
"Stomping Foot","OoW","12","2 (1d4)","13","14","11","5","10","4","0 (10 XP)"
"Stone Cursed","MPMM","17 (natural armor)","19 (3d8 + 6)","16","5","14","5","8","7","1 (200 XP)"
"Stone Dragon Statue","TftYP","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Stone Giant","MM","17 (natural armor)","126 (11d12 + 55)","23","15","20","10","12","9","7 (2,900 XP)"
"Stone Giant Dreamwalker","MPMM","18 (natural armor)","161 (14d12 + 70)","23","14","21","10","8","12","10 (5,900 XP)"
"Stone Giant Rockspeaker","BGG","19 (natural armor)","276 (24d12 + 120)","23","15","20","19","14","10","16 (15,000 XP)"
"Stone Giant Statue","SKT","17 (natural armor)","195 (17d12 + 85)","22","9","20","3","11","1","0 (10 XP)"
"Stone Giant of Evil Earth","BGG","20 (plate)","137 (11d12 + 66)","23","13","22","10","12","9","9 (5,000 XP)"
"Stone Golem","MM","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Stone Juggernaut","ToA","15 (natural armor)","157 (15d10 + 75)","16","12","15","14","14","16","12 (8,400 XP)"
"Stone Warrior","PotA","17 (natural armor)","102 (17d10 + 85)","22","9","20","3","11","1","4 (1,100 XP)"
"Stonecloak","WDMM","17 (natural armor)","178 (17d10 + 85)","22","9","20","9","11","9","10 (5,900 XP)"
"Stonemelder","PotA","17 (splint armor)","75 (10d8 + 30)","15","10","16","12","11","17","4 (1,100 XP)"
"Storm Crab","BGG","18 (natural armor)","155 (10d20 + 50)","23","10","21","5","14","9","11 (7,200 XP)"
"Storm Giant","MM","16 (scale mail)","230 (20d12 + 100)","29","14","20","16","18","18","13 (10,000 XP)"
"Storm Giant Quintessent","MPMM","12","230 (20d12 + 100)","29","14","20","17","20","19","16 (15,000 XP)"
"Storm Giant Skeleton","CM","13 (armor scraps)","204 (24d12 + 48)","29","14","15","3","8","1","16 (15,000 XP)"
"Storm Giant Tempest Caller","BGG","17 (natural armor)","310 (27d12 + 135)","29","14","20","21","18","25","20 (25,000 XP)"
"Storm Herald","BGG","16 (natural armor)","287 (23d12 + 138)","27","14","22","24","18","18","17 (18,000 XP)"
"Strahd Zombie","CoS","8","30 (4d8 + 12)","13","6","16","3","6","5","1 (200 XP)"
"Strigoi","VRGR","16 (natural armor)","52 (7d8 + 21)","17","14","16","11","17","10","4 (1,100 XP)"
"Strixhaven Campus Guide","SCC","17 (natural armor)","31 (7d6 + 7)","15","14","13","10","12","12","1 (200 XP)"
"Su-monster","ToA","12","27 (5d8 + 5)","14","15","12","9","13","9","1 (200 XP)"
"Succubus","MM","15 (natural armor)","66 (12d8 + 12)","8","17","13","15","12","20","4 (1,100 XP)"
"Sul Khatesh","ERLW","22 (natural armor)","475 (50d10 + 200)","18","21","19","30","22","25","28 (120,000 XP)"
"Summer Eladrin","MPMM","19 (natural armor)","165 (22d8 + 66)","19","21","16","14","12","18","10 (5,900 XP)"
"Sunder Shaman","GGR","20 (stone armor)","138 (12d12 + 60)","23","15","21","10","12","9","10 (5,900 XP)"
"Svirfneblin Wererat","OotA","12","33 (6d8 + 6)","10","15","12","11","10","8","2 (450 XP)"
"Swarm of Animated Books","CM","12 (natural armor)","22 (4d8 + 4)","10","13","12","1","10","1","1/4 (50 XP)"
"Swarm of Bats","MM","12","22 (5d8)","5","15","10","2","12","4","1/4 (50 XP)"
"Swarm of Beetles","MM","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Books","WDH","12","22 (5d8)","5","15","10","2","12","4","1/4 (50 XP)"
"Swarm of Campestris","WBtW","12 (natural armor)","27 (6d8)","3","7","10","4","10","8","1 (200 XP)"
"Swarm of Centipedes","MM","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Cranium Rats","MPMM","12","76 (17d8)","9","14","10","15","11","14","5 (1,800 XP)"
"Swarm of Gremishkas","VRGR","12","24 (7d6)","12","14","10","12","14","4","2 (450 XP)"
"Swarm of Hoard Scarabs","FTD","14 (natural armor)","31 (7d8)","6","16","11","3","8","6","2 (450 XP)"
"Swarm of Insects","MM","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Maggots","VRGR","11","22 (5d8)","3","12","10","1","7","1","2 (450 XP)"
"Swarm of Mechanical Spiders","WDH","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Poisonous Snakes","MM","14","36 (8d8)","8","18","11","1","10","3","2 (450 XP)"
"Swarm of Quippers","MM","13","28 (8d8 - 8)","13","16","9","1","7","2","1 (200 XP)"
"Swarm of Rats","MM","10","24 (7d8 - 7)","9","11","9","2","10","3","1/4 (50 XP)"
"Swarm of Ravens","MM","12","24 (7d8 - 7)","6","14","8","3","12","6","1/4 (50 XP)"
"Swarm of Rot Grubs","MPMM","8","22 (5d8)","2","7","10","1","2","1","1/2 (100 XP)"
"Swarm of Scarabs","VRGR","13 (natural armor)","27 (5d8 + 5)","3","14","13","1","12","1","3 (700 XP)"
"Swarm of Spiders","MM","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Wasps","MM","12 (natural armor)","22 (5d8)","3","13","10","1","7","1","1/2 (100 XP)"
"Swarm of Zombie Limbs","VRGR","10","22 (5d8)","14","10","10","3","8","5","1 (200 XP)"
"Swashbuckler","MPMM","17 (leather armor, suave defense)","66 (12d8 + 12)","12","18","12","14","11","15","3 (700 XP)"
"Sword Wraith Commander","MPMM","18 (breastplate, shield)","127 (15d8 + 60)","18","14","18","11","12","14","8 (3,900 XP)"
"Sword Wraith Warrior","MPMM","16 (chain shirt, shield)","45 (6d8 + 18)","18","12","17","6","9","10","3 (700 XP)"
"Tabaxi Hunter","ToA","14 (leather armor)","40 (9d8)","10","17","11","13","14","15","1 (200 XP)"
"Tabaxi Minstrel","ToA","12","22 (5d8)","10","15","11","14","12","16","1/4 (50 XP)"
"Tanarukk","MPMM","14 (natural armor)","95 (10d8 + 50)","18","13","20","9","9","9","5 (1,800 XP)"
"Tanazir Quandrix","SCC","21 (natural armor)","444 (24d20 + 192)","28","14","27","28","18","17","24 (62,000 XP)"
"Tarkanan Assassin","ERLW","15 (studded leather)","45 (7d8 + 14)","12","16","14","10","14","11","2 (450 XP)"
"Tarrasque","MM","25 (natural armor)","676 (33d20 + 330)","30","11","30","3","11","11","30 (155,000 XP)"
"Telepathic Pentacle","IDRotF","15 (natural armor)","172 (15d12 + 75)","20","12","20","2","10","7","8 (3,900 XP)"
"Tempest Spirit","BGG","12","195 (17d12 + 85)","24","14","20","16","18","19","15 (13,000 XP)"
"Terracotta Warrior","ToA","18 (natural armor)","33 (6d8 + 6)","14","11","13","1","3","1","1 (200 XP)"
"Thayan Apprentice","TftYP","12 (15 with mage armor)","27 (5d8 + 5)","10","14","12","15","13","11","2 (450 XP)"
"Thayan Warrior","TftYP","16 (chain shirt, shield)","52 (8d8 + 16)","16","13","14","10","11","11","2 (450 XP)"
"The Bagman","VRGR","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","5 (1,800 XP)"
"The Lord of Blades","ERLW","19 (natural armor)","195 (23d8 + 92)","20","15","18","19","17","18","18 (20,000 XP)"
"Theran Chimera","MOT","15 (natural armor)","95 (10d10 + 40)","18","13","19","3","14","10","7 (2,900 XP)"
"Thessalhydra","HftT","14 (natural armor)","69 (6d12 + 30)","19","12","20","5","10","7","4 (1,100 XP)"
"Thorn Slinger","TftYP","11","32 (5d10 + 5)","13","12","12","1","10","1","1/2 (100 XP)"
"Thorny Vegepygmy","MPMM","14 (natural armor)","27 (5d8 + 5)","13","12","13","2","10","6","1 (200 XP)"
"Thought Spy","GGR","13 (leather armor)","27 (6d8)","11","14","10","16","13","14","1 (200 XP)"
"Thri-kreen","MM","15 (natural armor)","33 (6d8 + 6)","12","15","13","8","12","7","1 (200 XP)"
"Thri-kreen Gladiator","BAM","17 (natural armor)","142 (19d8 + 57)","18","18","16","10","15","11","7 (2,900 XP)"
"Thri-kreen Hunter","BAM","16 (natural armor)","60 (11d8 + 11)","15","16","13","10","14","9","2 (450 XP)"
"Thri-kreen Mystic","BAM","15 (natural armor)","99 (18d8 + 18)","12","15","13","12","16","10","5 (1,800 XP)"
"Thug","MM","11 (leather armor)","32 (5d8 + 10)","15","11","14","10","10","11","1/2 (100 XP)"
"Thunderbeast Skeleton","SKT","15 (natural armor)","68 (8d12 + 16)","19","11","15","2","12","5","3 (700 XP)"
"Tiefling Acrobat","KftGV","10","4 (1d8)","10","10","10","10","10","10","0 (10 XP)"
"Tiger","MM","12","37 (5d10 + 10)","17","15","14","3","12","8","1 (200 XP)"
"Tin Soldier","WBtW","18 (natural armor)","27 (6d6 + 6)","14","11","13","1","3","1","1 (200 XP)"
"Titanothere","BGG","16 (natural armor)","136 (13d12 + 52)","25","10","19","2","12","6","5 (1,800 XP)"
"Titivilus","MPMM","20 (natural armor)","150 (20d8 + 60)","19","22","17","24","22","26","16 (15,000 XP)"
"Tlacatecolo","JttRC","13","78 (12d8 + 24)","12","17","14","10","15","10","5 (1,800 XP)"
"Tlexolotl","JttRC","15 (natural armor)","104 (11d12 + 33)","25","10","17","7","13","9","10 (5,900 XP)"
"Tlincalli","MPMM","15 (natural armor)","85 (10d10 + 30)","16","13","16","8","12","8","5 (1,800 XP)"
"Tomb Dwarf","ToA","14 (studded leather)","45 (6d8 + 18)","15","14","16","10","13","15","3 (700 XP)"
"Tomb Guardian","ToA","17","93 (11d8 + 44)","19","9","18","6","10","5","5 (1,800 XP)"
"Tomb Tapper","IDRotF","17 (natural armor)","207 (18d12 + 90)","22","10","21","14","14","11","10 (5,900 XP)"
"Topaz Dragon Wyrmling","FTD","16 (natural armor)","33 (6d8 + 6)","15","12","13","14","13","14","2 (450 XP)"
"Topaz Greatwyrm","FTD","21 (natural armor)","507 (26d20 + 234)","28","14","29","30","24","25","26 (90,000 XP)"
"Tortle","MPMM","17 (natural armor)","22 (4d8 + 4)","15","10","12","11","13","12","1/4 (50 XP)"
"Tortle Druid","MPMM","17 (natural armor)","33 (6d8 + 6)","14","10","12","11","15","12","2 (450 XP)"
"Transmuter Wizard","MPMM","12 (15 with mage armor)","49 (11d8)","9","14","11","17","12","11","5 (1,800 XP)"
"Trapper","MPMM","13 (natural armor)","68 (8d10 + 24)","17","10","17","2","13","4","3 (700 XP)"
"Treant","MM","16 (natural armor)","138 (12d12 + 60)","23","8","21","12","16","12","9 (5,000 XP)"
"Treant Sapling","WBtW","14 (natural armor)","45 (6d10 + 12)","17","8","15","12","12","10","2 (450 XP)"
"Tree Blight","CoS","15 (natural armor)","92 (8d12 + 40)","23","10","20","6","10","3","7 (2,900 XP)"
"Tressym","BGDIA","12","5 (2d4)","3","15","10","11","12","12","0 (10 XP)"
"Tressym","SKT","12","5 (2d4)","3","15","10","11","12","12","0 (10 XP)"
"Tri-flower Frond","ToA","10","11 (2d8 + 2)","14","15","12","9","13","9","1/2 (100 XP)"
"Tribal Warrior","MM","12 (hide armor)","11 (2d8 + 2)","13","11","12","8","11","8","1/8 (25 XP)"
"Tribal Warrior Spore Servant","IDRotF","12 (hide armor)","11 (2d8 + 2)","13","11","12","2","6","1","1/8 (25 XP)"
"Triceratops","MM","13 (natural armor)","95 (10d12 + 30)","22","9","17","2","11","5","5 (1,800 XP)"
"Tridrone","MM","15 (natural armor)","16 (3d8 + 3)","12","13","12","9","10","9","1/2 (100 XP)"
"Triton Master of Waves","MOT","15 (natural armor)","105 (14d8 + 42)","16","11","16","10","12","19","8 (3,900 XP)"
"Triton Shorestalker","MOT","13","32 (5d8 + 10)","11","16","14","10","15","11","2 (450 XP)"
"Troglodyte","MM","11 (natural armor)","13 (2d8 + 4)","14","10","14","6","10","6","1/4 (50 XP)"
"Troglodyte Champion of Laogzed","OotA","14 (natural armor)","59 (7d8 + 28)","18","12","18","8","12","12","3 (700 XP)"
"Troll","MM","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","5 (1,800 XP)"
"Troll Amalgam","BGG","15 (natural armor)","217 (14d20 + 70)","25","14","21","9","16","5","17 (18,000 XP)"
"Troll Mutate","BGG","16 (natural armor)","95 (10d10 + 40)","19","13","18","17","9","12","7 (2,900 XP)"
"Tromokratis","MOT","22 (natural armor)","409 (21d20 + 189)","30","11","29","22","11","10","26 (90,000 XP, or 180,000 XP as a mythic encounter)"
"Trostani","GGR","17 (natural armor)","252 (24d10 + 120)","19","14","20","16","30","25","18 (20,000 XP)"
